ShengShi8,ShengShi8,Fund
ShengShi8*11220006*Id807035.MFA_T0_A*DLa_ZZOI@ShengShi8@Id807035.MFA@26104,DLa_ZZOI@ShengShi8@Id807035.MFA@26104,Trader
ShengShi8*11220006*Id807035.MFA_T0_A*DLa_DLm@ShengShi8@Id807035.MFA@26101,DLa_DLm@ShengShi8@Id807035.MFA@26101,Trader
ShengShi8*11220006*Id807035.MFA_T0_A*DLy_ZZOI@ShengShi8@Id807035.MFA@26109,DLy_ZZOI@ShengShi8@Id807035.MFA@26109,Trader
ShengShi8*11220006*Id807035.MFA_T0_A*DLcs_DLy@ShengShi8@Id807035.MFA@26106,DLcs_DLy@ShengShi8@Id807035.MFA@26106,Trader
ShengShi8*11220006*Id807035.MFA_T0_A*DLc_DLcs@ShengShi8@Id807035.MFA@26107,DLc_DLcs@ShengShi8@Id807035.MFA@26107,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2,CnCom.Id807035.CalArbAll2,Strategy
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58612,DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58612,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*ZZMA@ShengShi8@CnCom.Id807035.CalArbAll2@58620,ZZMA@ShengShi8@CnCom.Id807035.CalArbAll2@58620,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58614,DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58614,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLl@ShengShi8@CnCom.Id807035.CalArbAll2@58609,DLl@ShengShi8@CnCom.Id807035.CalArbAll2@58609,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58611,DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58611,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*ZZMA@ShengShi8@CnCom.Id807035.CalArbAll2@58619,ZZMA@ShengShi8@CnCom.Id807035.CalArbAll2@58619,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*ZZRM@ShengShi8@CnCom.Id807035.CalArbAll2@58621,ZZRM@ShengShi8@CnCom.Id807035.CalArbAll2@58621,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58606,DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58606,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58610,DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58610,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58607,DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58607,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58615,DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58615,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*ZZRM@ShengShi8@CnCom.Id807035.CalArbAll2@58622,ZZRM@ShengShi8@CnCom.Id807035.CalArbAll2@58622,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58613,DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58613,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLjd@ShengShi8@CnCom.Id807035.CalArbAll2@58604,DLjd@ShengShi8@CnCom.Id807035.CalArbAll2@58604,Trader
ShengShi8*11220006*Cn.Id807035.All_MN,Cn.Id807035.All_MN,Strategy
ShengShi8*11220006*Cn.Id807035.All_MN*SQzn_SQsn@ShengShi8@Cn.Id807035.All_MN@59406,SQzn_SQsn@ShengShi8@Cn.Id807035.All_MN@59406,Trader
ShengShi8*11220006*Cn.Id807035.All_MN*SQal_SQzn@ShengShi8@Cn.Id807035.All_MN@59403,SQal_SQzn@ShengShi8@Cn.Id807035.All_MN@59403,Trader
ShengShi8*11220006*Cn.Id807035.All_MN*SQal_SQni@ShengShi8@Cn.Id807035.All_MN@59401,SQal_SQni@ShengShi8@Cn.Id807035.All_MN@59401,Trader
ShengShi8*11220006*Cn.Id807035.All_MN*SQau2_SQag@ShengShi8@Cn.Id807035.All_MN@59404,SQau2_SQag@ShengShi8@Cn.Id807035.All_MN@59404,Trader
ShengShi8*11220006*Cn.Id807035.All_MN*SQzn_SQni@ShengShi8@Cn.Id807035.All_MN@59405,SQzn_SQni@ShengShi8@Cn.Id807035.All_MN@59405,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2N,CnCom.Id807035.CalArbAll2N,Strategy
